Parent Organization,Subsidiary Organization,Acronym,Org Type,Country of origin,Cluster 1,Cluster 2,Cluster 3,Cluster 4,Cluster 5,Name/Type of response,Capacity,Organization Website,Organization Facebook,Organization Twitter,Donation Links,News and Source Links
Government of Australia,,,Government,Australia,Funding,Assessments,Logistics,,,"As of April 30, Australia has sent a nine-person Australian crisis response team that arrived in Nepal on Monday, and the country has committed US$5 million in funding: $2.5 million to assist Australian non-government organisations, $2 million to support United Nations partner, and $0.5 million to support the Australian Red Cross.

5/1:Two Australian Defence Force C17s arrived in Kathmandu yesterday evening (30 April). They unloaded 936 tarpaulins, 1200 blankets, 746 hygiene kits, and water purification for 1000 families. (https://www.facebook.com/australiainnepal/photos/a.1098087203551596.1073741828.1092570300769953/1105342622826054/?type=1&theater)",crisis response team and 2 humanitarian experts,http://www.australia.gov.au/,https://www.facebook.com/australiainnepal,http://www.australia.gov.au/news-and-media/social-media/twitter,,"http://reliefweb.int/report/nepal/earthquake-nepal-1
http://thenewdaily.com.au/news/2015/04/26/nepal-earthquake-missing-australians/"
Government of Bahrain,,,Government,Bahrain,Food Security,Health,,,,"“We do not want used clothes because of health and hygiene reasons, and urge the public to donate food and other aid materials,” said BRCS secretary-general Dr Fawzi Amin. “We are not accepting used clothes and we urge people to take them back. All the food, medical and other aid will be collected and sent with the first consignment of aid to Kathmandu on May 4. We are getting good support from the public and expect to collect over 40 tonnes of aid,” he said. A disaster response team from DHL has also been deployed to Nepal to provide logistics support at Tribhuvan Kathmandu International Airport. The team consists of DHL employees from Bahrain, Belgium, the UAE, India, Malaysia and Singapore, who are working with the UN Office for the Co-ordination of Humanitarian Affairs to mobilise and co-ordinate humanitarian relief efforts in Nepal.",,https://www.bahrain.bh/,https://www.facebook.com/egovbahrain,https://twitter.com/egovbahrain,http://reliefweb.int/report/nepal/hm-king-extends-lifeline-quake-stricken-nepal,http://tradearabia.com/news/MISC_281048.html
Government of Belgium,B-Fast Team,B-FAST,Government,Belgium,Search & Rescue,,,,,"UPDATE (5/03/2015) Belgian aid team B-fast will return to Belgium in a Dutch transport plane, together with the Dutch USAR team, on Monday 4 May. B-Fast will leave behind equipment in Nepal, like tents, tables, chairs, field beds, blankets and power supply equipment. This equipment will be handed over to two local NGOs, in coordination with the United Nations.

As of 4/29/2015, B-Fast (Belgian SAR) is moving towards Gorkha, with team from Spain and Singapore. (source: Skype)

Heavy rescue material, rescue dogs, teams trained in urban SAR - 45 people in total.",43 SAR experts,http://b-fast.be/en http://diplomatie.belgium.be/en/,https://www.facebook.com/pages/B-FAST-BELGIUM/255196742029,https://twitter.com/BelgiumMFA ,,http://diplomatie.belgium.be/en/Newsroom/news/press_releases/foreign_affairs/2015/05/ni_020515_b-fast_nepal.jsp?referer=tcm:312-266581-64 http://www.hln.be/hln/nl/33402/Aardbeving-Nepal/article/detail/2299585/2015/04/26/B-Fast-team-vertrokken-richting-Nepal.dhtml
Government of Canada,,,Government,Canada,Search & Rescue,Funding,Assessments,,,"As of May 3, Canada is sending additional team members from Canadian Forces Base Trenton to deploy immediately to Nepal, along with civilian, political and humanitarian personnel from Foreign Affairs, Trade and Development Canada. Canada already has deployed the Interdepartmental Strategic Support Team (ISST), followed by members of the Disaster Assistance Response Team (DART) to gain situational awareneess of needs. Additionally, Canada will provide an additional $5 million in humanitarian assistance funding to supplement the $5 million announced earlier. (GOC) As of May 3, the DART team is still conducting assessments, now focusing on the west of Kathmandu, looking for opportunities to link up with humanitarian partners to support them. (OCHA)

Members of Canada's Disaster Assistance Response Team (DART) arrived in Nepal wednesday 29th of April.The Government of Canada will continue to monitor the situation and will provide further assistance if required to help meet life-saving needs. 

The day after the earthquake, Canada deployed the Interdepartmental Strategic Support Team, followed by DART members to assess the situation in Nepal.On Friday, the assessment team delivered its recommendations and called for additional elements of DART to support the relief efforts. Officials say the elements of DART will be deployed in a phased approach, adjusting capabilities and personnel based on needs on the ground.DART will be capable of providing field and construction engineers, and medical assistance that could include first aid, laboratory, pharmacy, rehydration, preventive medicine and limited obstetrics services. DART headquarters will be providing command and control, and linking with other Canadian government departments, the government of Nepal and international humanitarian groups.",,http://www.canada.ca/en/,NA,http://www.canada.ca/en/social/,,"http://www.torontosun.com/2015/04/25/aid-agencies-ask-canadians-to-help-quake-stricken-nepal
http://www.cbc.ca/news/world/nepal-earthquake-dart-canadian-red-cross-relief-efforts-ramp-up-1.3055324?cmp=rss
http://www.cbc.ca/news/canada/nepal-earthquake-canada-deploys-disaster-assistance-response-team-1.3058852
http://www.100milefreepress.net/national/302307771.html"
Government of China,China International Search & Rescue Team,CISAR,Government,China,Search & Rescue,,,,,"As of May 3, China currently has a medical team in-country; planning to bring in 3 helicopters to be based out of military academy. (OCHA)

As of April 26, the 62 member China International Search & Rescue Team (CISAR) was sent to Nepal at 6:00 am Sunday. Teams are equipped with six sniffer dogs and relevant rescue and medical equipment. China has also initiated an emergency humanitarian aid plan to quake-hit Nepal and details yet to be formulated. The Chinese government also extended solicitude to other countries affected by the earthquake, including India, Bangladesh and Bhutan, adding that China is ready to provide assistance to these countries within its capacity. (Source: http://www.nbcnews.com/storyline/nepal-earthquake/nepal-earthquake-charities-nations-rush-offer-aid-n348391, http://www.chinadaily.com.cn/world/2015-04/26/content_20542514.htm, http://ibnlive.in.com/news/nepal-earthquake-china-sends-search-and-rescue-teams/542108-2.html)

The Chinese government on Sunday said it will provide aid worth 20 million yuan ($3.3 million). The first batch of 186 tons of aid, including tents and blankets, is set to arrive in Nepal by Tuesday. 

3 May: On Sunday, Chinese paramilitary police arrived in Nepal to help clear a highway linking the two countries. China has already sent about 350 medical and search-and-rescue personnel. (http://www.wsj.com/articles/u-n-presses-nepal-to-expedite-entry-of-aid-supplies-1430650997)",,http://english.gov.cn/,NA,NA,,"http://www.chinadaily.com.cn/world/2015-04/26/content_20542514.htm
http://ibnlive.in.com/news/nepal-earthquake-china-sends-search-and-rescue-teams/542108-2.html"
Government of Denmark,,,Government,Denmark,Logistics,Telecom,,,,"The Government of Denmark has donated $4.7 million to relief efforts. A team of eight experts and IT-equipment from the Danish Emergency Management Agency (DEMA) are on the ground leading the coordination efforts at three UN communications centres. 

30 April - PHOTO: Embassy of Denmark in Nepal is ready to provide assistance to the Danes at the airport in Kathmandu (https://www.facebook.com/UdenrigsministerietsBorgerservice/posts/937939419562862)",,"http://nepal.um.dk/
http://um.dk/",https://www.facebook.com/UdenrigsministerietsBorgerservice,https://twitter.com/UM_dk,,"http://um.dk/da/nyheder-fra-udenrigsministeriet/newsdisplaypage/?newsID=AF07422C-3748-4072-903B-2E6DE04B40D0
http://um.dk/da/nyheder-fra-udenrigsministeriet/newsdisplaypage/?newsID=58079744-E35F-4AD8-8005-35556A784311"
Government of Finland,Finland SAR,,Government,Finland,Search & Rescue,,,,,"SAR TEAM 30 members strong

2 May: On Thursday, the Finnish Red Cross said it would dispatch a rescue team to assist the post-quake recovery operations in Nepal. In addition to rescue workers, the team also includes some X-ray technicians and an aid worker from the Red Cross. It will bring an X-ray machine, 140 tents and nearly 1,000 sets of kitchenware. The Finnish Foreign Ministry announced Tuesday it would provide 2 million euros (about 2.24 million dollars) in humanitarian aid to Nepal. (http://www.globalpost.com/article/6535516/2015/05/02/spotlight-more-intl-aid-pours-quake-jolted-nepal)",arrival expected on 27/4,http://valtioneuvosto.fi/en/frontpage,https://www.facebook.com/SuomenSuurlahetystoKathmandu,https://twitter.com/FinGovernment,,
Government of France,USAR team PUI FRANCE FRA01,,Government,France,Search & Rescue,Shelter & NFI,Health,,,"Will send 11 rescuers on Sunday. Team is deployed in west Katmandou with China Team, sector G. In addition, 20 tonnes of aid from France arrived in Kathmandu at 2:40 AM Local time on 4/20/2015. Also, 55 healthworkers and aid workers and 25 tonnes of equipment, including medicine, food and shelter, on board arrived in a seperate plane. Support for FrenchEmbassy and European Union Water Purification module",,http://www.gouvernement.fr/en/news,https://www.facebook.com/gouvernement.fr,https://twitter.com/gouvernementfr,,"http://www.emsworld.com/news/11935226/global-response-to-nepal-quake-gears-up
http://www.english.rfi.fr/asia-pacific/20150430-third-french-national-dead-nepal-earthquake-survivors-touch-down-paris
http://www.english.rfi.fr/asia-pacific/20150429-first-planeload-french-aid-arrives-nepal-earthquake"
Government of Germany,,,Government,Germany,Early Recovery,WASH,Shelter & NFI,,,"A German Red Cross and Federal Agency for Technical Relief flight funded by the Federal Foreign Office took off for Nepal on April 27. The aircraft is transporting tents, blankets and hygiene kits and an urgently needed water purification unit to the disaster zone. (Government of Germany)

30 Apr: The Federal Foreign Office has financed a relief flight carrying German Red Cross and THW supplies. It carried tents, blankets, hygiene sets and a drinking water treatment plant to Nepal.The aid organisation ISAR (International Search and Rescue Germany) already has 52 search and rescue experts, doctors,  paramedics and specially trained search and rescue dogs on the ground. The organisation specialises in rescuing earthquake victims.Malteser International (Order of Malta Worldwide Relief) has sent an initial assessment team to Nepal.Caritas has launched an emergency relief mission.Care International has dispatched experts to the region. (http://www.bundesregierung.de/Content/EN/Artikel/2015/04_en/2015-04-30-nepal_en.html)",,http://www.bundesregierung.de/Webs/Breg/EN/Homepage/_node.html,NA,NA,,http://www.bundesregierung.de/Content/EN/Artikel/2015/04_en/2015-04-30-nepal_en.html
Government of Hong Kong,HKSARG,,Government,Hong Kong,Search & Rescue,,,,,"Outside agency report: The Hong Kong government has announced plans to donate HKD50 million to the Nepal relief effort following Saturday’s massive 7.9-magnitude earthquake...

3 May: The door is still open for any Hongkonger who has yet to seek help after the Nepal earthquake, even as the government's efforts to bring residents home draw to a close for now, the Immigration Department says. The final batch of 10 landed in the city yesterday morning from Kathmandu, among them four young women who were previously unaccounted for. (http://www.scmp.com/news/hong-kong/education-community/article/1784464/nepal-quake-help-still-offer-four-missing)",The Hong Kong government has announced plans to donate HKD50 million ,http://www.gov.hk/en/residents/,NA,NA,http://reliefweb.int/report/nepal/hksarg-provide-relief-and-financial-assistance-quake-victims-nepal,http://reliefweb.int/report/nepal/hksarg-provide-relief-and-financial-assistance-quake-victims-nepal
